doi,pmid,Field,has_blot,Include_Img,ExclReason_Img
10.1186/s13287-021-02478-4,34275494.0,cellbio,False,,
10.1111/acel.13421,34278707.0,cellbio,False,,
10.1186/s13287-021-02471-x,34275489.0,cellbio,False,,
10.1093/plcell/koab189,34273173.0,cellbio,False,,
10.1007/s00018-021-03891-x,34274977.0,cellbio,True,0.0,22.0
10.1038/s41388-021-01939-7,34274946.0,cellbio,True,1.0,99.0
10.1038/s41392-021-00691-4,34274941.0,cellbio,False,,
10.1038/s41419-021-04002-1,34274951.0,cellbio,True,1.0,99.0
10.1016/j.celrep.2021.109482,34297909.0,cellbio,True,1.0,99.0
10.1038/s41388-021-01948-6,34274947.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04007-w,34274950.0,cellbio,True,1.0,99.0
10.1093/plcell/koab188,34270784.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02429-z,34271976.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02483-7,34271988.0,cellbio,False,,
10.1038/s41591-021-01459-7,34272500.0,cellbio,False,,
10.15252/embj.2021108053,34269473.0,cellbio,True,1.0,99.0
10.1038/s41392-021-00582-8,34267180.0,cellbio,True,0.0,23.0
10.1038/s41419-021-04006-x,34272359.0,cellbio,False,,
10.15252/embr.202152988,34269513.0,cellbio,False,,
